block_id,route_id,trip_headsign,service_id,shape_id,trip_id,trip_id_
a_2151046,4-121,4 FARNHAM GATE VIA ROSEDA,2012_05M-1205BRsa-Saturday-02,40022,6515751-2012_05M-1205BRsa-Saturday-02,6515751
a_2150995,72-121,72 DARTMOUTH CROSSING VIA,2012_05M-1205BRsa-Saturday-02,720026,6517161-2012_05M-1205BRsa-Saturday-02,6517161
a_2151233,60-121,60 EASTERN PASSAGE,2012_05M-1205BRsu-Sunday-02,600082,6518324-2012_05M-1205BRsu-Sunday-02,6518324
a_2150548,52-121,52 CROSSTOWN TO BAYERS LA,2012_05M-1205BRwd-Weekday-02,520288,6512950-2012_05M-1205BRwd-Weekday-02,6512950
b_2153077,51-114,51WINDMILL TO OCEAN BREEZ,2012_08A-1208BRsu-Sunday-01,510079,6529971-2012_08A-1208BRsu-Sunday-01,6529971
a_2150409,87-121,87 GLENDALE TO SACKVILLE ,2012_05M-1205BRwd-Weekday-02,870055,6510842-2012_05M-1205BRwd-Weekday-02,6510842
a_2150617,1-121,1 SPRING GARDEN TO BRIDGE,2012_05M-1205BRwd-Weekday-02,10014,6514101-2012_05M-1205BRwd-Weekday-02,6514101
b_2152768,56-114,56 DARTMOUTH CROSSING,2012_08A-1208BRsa-Saturday-01,560024,6527741-2012_08A-1208BRsa-Saturday-01,6527741
b_2152794,51-114,51WINDMILL TO OCEAN BREEZ,2012_08A-1208BRsa-Saturday-01,510079,6528669-2012_08A-1208BRsa-Saturday-01,6528669
b_2062220,FerD-114,FERRY TO DARTMOUTH,2012_08A-12AferWD-Weekday-01,FerD0001,6219151-2012_08A-12AferWD-Weekday-01,6219151
a_2151233,9-121,9 BARRINGTON TO MUMFORD,2012_05M-1205BRsu-Sunday-02,90074,6518965-2012_05M-1205BRsu-Sunday-02,6518965
b_2153032,80-114,80 HALIFAX,2012_08A-1208BRsu-Sunday-01,800064,6529828-2012_08A-1208BRsu-Sunday-01,6529828
